quarantine,cooldown,reward,trigger,mean,median,p95,p99,p999,max,sticking_rate,decay_rate,timeout_rate
0.99,0.95,0.03,80,40.581,27.0,126.0,151.0,174.0039999999999,178,0.368,0.6,0.032
0.9,0.99,0.015,160,37.796,26.0,117.04999999999995,150.01999999999998,173.00199999999995,175,0.359,0.622,0.019
0.99,0.95,0.015,120,37.982,26.0,121.0,147.0,172.0,172,0.347,0.625,0.028
0.9,0.99,0.005,50,39.563,27.0,123.0,155.01999999999998,171.00299999999993,174,0.375,0.6,0.025
0.9,0.99,0.0,80,39.167,27.0,115.0,154.01,170.00499999999988,175,0.37,0.602,0.028
0.9,0.99,0.03,160,39.483,28.0,124.04999999999995,146.07999999999993,170.00199999999995,172,0.362,0.617,0.021
0.99,0.95,0.03,160,39.044,29.0,116.04999999999995,154.01999999999998,168.01399999999967,182,0.366,0.608,0.026
0.99,0.95,0.005,80,40.738,28.0,125.04999999999995,156.01,168.00099999999998,169,0.38,0.581,0.039
0.9,0.99,0.005,80,38.817,27.0,124.04999999999995,156.01,167.01099999999974,178,0.412,0.557,0.031
0.97,0.95,0.0,160,35.737,26.0,103.0,136.0,167.0039999999999,171,0.375,0.592,0.033
0.9,0.99,0.03,80,38.744,27.0,117.04999999999995,151.0,166.00299999999993,169,0.394,0.582,0.024
0.99,0.95,0.005,120,39.203,30.0,115.0,147.0,166.00099999999998,167,0.386,0.595,0.019
0.9,0.99,0.0,120,39.602,28.0,122.04999999999995,149.02999999999997,166.0,166,0.381,0.594,0.025
0.9,0.99,0.0,50,38.953,28.0,112.0,148.01,165.0089999999998,174,0.379,0.602,0.019
0.99,0.95,0.03,50,37.907,27.0,120.0,147.01,165.0079999999998,173,0.363,0.614,0.023
0.99,0.95,0.015,160,40.74,28.0,125.04999999999995,150.01,165.00199999999995,167,0.382,0.588,0.03
0.99,0.95,0.0,160,37.295,27.0,114.04999999999995,154.01,164.00299999999993,167,0.373,0.601,0.026
0.99,0.95,0.005,160,37.793,26.0,117.0,149.01,164.00199999999995,166,0.367,0.61,0.023
0.9,0.99,0.0,160,38.635,28.0,117.04999999999995,146.01999999999998,164.00099999999998,165,0.376,0.603,0.021
0.9,0.99,0.015,120,39.428,28.0,113.0,151.01,163.0169999999996,180,0.374,0.603,0.023
0.99,0.95,0.03,120,37.341,27.0,109.0,145.01999999999998,163.0129999999997,176,0.376,0.611,0.013
0.9,0.99,0.015,50,37.315,26.0,116.0,144.0,163.00699999999983,170,0.377,0.603,0.02
0.9,0.99,0.005,160,39.691,28.0,125.04999999999995,150.01999999999998,163.00099999999998,164,0.394,0.583,0.023
0.9,0.99,0.005,120,38.833,29.0,111.14999999999986,147.05999999999995,162.00999999999976,172,0.382,0.6,0.018
0.97,0.95,0.03,50,36.816,27.0,112.04999999999995,141.0,162.0089999999998,171,0.367,0.605,0.028
0.9,0.99,0.03,120,39.893,30.0,121.0,146.01999999999998,161.00699999999983,168,0.36,0.619,0.021
0.99,0.95,0.015,50,39.364,27.0,118.24999999999977,149.0,160.0089999999998,169,0.344,0.632,0.024
0.99,0.95,0.0,120,36.678,26.0,114.04999999999995,145.02999999999997,159.00599999999986,165,0.397,0.577,0.026
0.9,0.99,0.03,50,41.64,29.0,129.04999999999995,152.0,157.0089999999998,166,0.394,0.573,0.033
0.99,0.95,0.0,50,38.413,28.0,116.04999999999995,149.01,157.00299999999993,160,0.365,0.615,0.02
0.99,0.95,0.005,50,39.249,29.0,115.04999999999995,148.0,156.01099999999974,167,0.368,0.605,0.027
0.97,0.95,0.0,50,35.346,26.0,105.04999999999995,133.01,156.0089999999998,165,0.382,0.595,0.023
0.9,0.99,0.015,80,40.572,30.0,121.04999999999995,146.01,155.0039999999999,159,0.36,0.616,0.024
0.99,0.95,0.015,80,39.393,27.0,123.0,146.0,154.01899999999955,173,0.362,0.612,0.026
0.97,0.95,0.015,50,36.483,27.0,111.04999999999995,136.01,153.00299999999993,156,0.33,0.643,0.027
0.97,0.95,0.03,80,36.181,25.0,105.04999999999995,137.0,152.02299999999946,175,0.366,0.613,0.021
0.97,0.95,0.03,160,35.719,26.0,108.0,134.01,151.0129999999997,164,0.348,0.615,0.037
0.97,0.95,0.005,120,36.076,26.0,110.0,137.01999999999998,151.00199999999995,153,0.375,0.599,0.026
0.97,0.95,0.005,160,35.642,25.0,107.0,140.0,150.01199999999972,162,0.337,0.639,0.024
0.97,0.95,0.015,160,36.151,25.0,110.04999999999995,136.0,148.01599999999962,164,0.363,0.607,0.03
0.97,0.95,0.005,50,37.259,27.0,115.04999999999995,136.02999999999997,148.0079999999998,156,0.339,0.631,0.03
0.97,0.95,0.03,120,36.517,28.0,111.04999999999995,138.01999999999998,148.00199999999995,150,0.346,0.625,0.029
0.97,0.95,0.005,80,37.495,27.0,110.09999999999991,134.0,147.0079999999998,155,0.321,0.647,0.032
0.97,0.95,0.0,120,34.534,25.0,100.04999999999995,136.0,147.00199999999995,149,0.381,0.596,0.023
0.97,0.95,0.015,120,34.327,24.0,103.19999999999982,138.01,146.00299999999993,149,0.338,0.632,0.03
0.97,0.95,0.015,80,35.898,26.0,106.0,134.0,146.00199999999995,148,0.376,0.596,0.028
0.97,0.95,0.0,80,36.066,26.0,112.04999999999995,135.0,143.00599999999986,149,0.343,0.633,0.024
0.94,0.95,0.005,160,33.073,23.0,101.0,123.0,139.00199999999995,141,0.353,0.604,0.043
0.94,0.95,0.015,80,31.456,22.0,98.0,116.01999999999998,136.00699999999983,143,0.309,0.66,0.031
0.94,0.95,0.005,50,31.306,22.0,97.0,121.01999999999998,135.00699999999983,142,0.34,0.631,0.029
0.94,0.95,0.0,80,31.524,22.0,100.0,115.00999999999999,134.00099999999998,135,0.332,0.629,0.039
0.94,0.95,0.005,80,31.09,21.5,93.0,119.0,134.0,134,0.341,0.633,0.026
