controller,survival_rate,mean_peak_A,mean_min_temp,mean_max_density,mean_unsafe_time,mean_control_energy,mean_fusion_yield,mean_yield_per_energy
GSCX_V7,1.0,0.03150386253005047,0.9563735831186048,1.1393583758844892,0.0,0.789323675791617,173.36307188492032,219.68895266226076
GSCX_V91,1.0,0.027359282318068084,0.9775102968606658,1.1331754996087104,0.0,0.5117521645606209,180.72304759384573,353.30329429344334
PID,0.0,1.5506719975048378,0.7918162500205251,1.126717966771762,4.332590000000038,5.559639753444408,3.225315060622572,0.586482762919953
