controller,unsafe_time,control_energy,position_error,motor_heat,max_abs_position,productivity,seed
PID,0.245,0.8237149172030538,0.8367370382165985,5.424895142717786,2.232571962969974,0.2126436018528728,0
GSCX,0.0,0.372891203071046,0.2741154079764915,2.52293320515385,1.1270290474897586,0.4019941971097249,0
PID,0.1466666666666666,0.7624081135907692,0.6714937788043239,4.990926950579655,1.8901501606886304,0.2379798786832758,1
GSCX,0.0197222222222222,0.4067371043575941,0.3041958109483295,2.7553382782034324,1.6121792404030688,0.3710300869512935,1
PID,0.2988888888888888,0.8564262019080252,0.9519864645210682,5.650249770211848,2.5169797423336124,0.1995573506901729,2
GSCX,0.2213888888888888,0.7904853569019413,0.7985236593888579,5.192892660120142,2.379480926036015,0.2193687963994583,2
PID,0.2572222222222222,0.8451848845918309,0.8808707750359206,5.565404822848357,2.466862472367896,0.20616735382456,3
GSCX,0.2319444444444444,0.8129309974945362,0.8352230312107446,5.364132877619498,2.240463383017196,0.2144629139262303,3
PID,0.7594444444444445,0.946536380374162,2.263831786598613,6.2754611695161575,4.985504686020233,0.1338639207868383,4
GSCX,0.1572222222222222,0.7611428104909266,0.7320919844100457,5.011994024907287,2.427952035608792,0.2298538912500613,4
PID,0.2652777777777778,0.8524129799706462,0.8824367318069735,5.619851006316405,2.2175641635227814,0.206075111787747,5
GSCX,0.0213888888888888,0.455497978088154,0.353116851410423,3.07033814330506,1.4900042946641718,0.3486494598132329,5
PID,0.5797222222222222,0.9189258369168882,1.480266654754053,6.07437773715365,3.580938357518839,0.1618836265950964,6
GSCX,0.015,0.3990155034169533,0.2951774521968259,2.6916432698404757,1.372833759330307,0.3807975422136893,6
PID,0.6622222222222223,0.93081343778886,1.7153923265039628,6.15671287728195,3.835794777482503,0.1519026249904048,7
GSCX,0.2186111111111111,0.7889657430860683,0.7927630487485966,5.220984341071303,2.345395173386462,0.2195641787955719,7
PID,0.335,0.8789041960026118,0.9842025649334708,5.809454409765798,2.6457754348681783,0.1936508919399683,8
