mode,survived,peak,minT,maxD,unsafe,energy,yield,ype,RECOVERY_frac
pid,False,1.35529551100599,0.0,1.0,75.24200000000604,653.9042157896689,7.200527849161181,0.010994780115255396,
gscx,True,0.6502692909428169,0.6892558289446445,1.0951375182770864,0.0,45.16345610217945,77.349954751715,1.6755668072274854,0.0
pid,False,1.2687825485574704,0.0,1.0,76.18800000000384,648.6765453805148,6.8441439029421,0.010534694459276643,
gscx,True,0.5447300975473194,0.8396056341338896,1.054941195731393,0.0,31.49831152980232,77.84767911171429,2.3954376534400774,0.0
pid,False,1.4772710890858605,0.0,1.0,78.84799999999764,647.8259508616428,5.75384760576007,0.008868091046788346,
gscx,True,0.7378383491801003,0.7583821594929682,1.0870294590704828,0.0,47.66222839101211,81.85984739308773,1.6822050715664967,0.0
pid,False,1.5383100577656024,0.0,1.0,81.43199999999162,648.2732059308022,5.326440432354441,0.008203696662206201,
gscx,False,0.801989818091352,0.6409820382844384,1.1064303929155086,0.7980000000000006,54.21499063875787,67.30420877190626,1.2189481152363437,0.0
pid,False,1.3471091469689593,0.0,1.0,70.51600000001706,663.7307393653409,10.099802912642685,0.015193825581596519,
gscx,True,0.6445080989390962,0.706597257272677,1.087879705346044,0.0,44.270875294858584,74.67634931383836,1.6495450734596102,0.0
pid,False,1.486949502292153,0.0,1.0,85.94999999998109,641.8454565940359,3.649001793028407,0.005676328199256128,
gscx,False,0.7705225809221959,0.8478590147004716,1.0495954685432622,0.5740000000000004,39.214702271478096,82.88459724926325,2.061052116952968,0.0
pid,False,1.3258355613934125,0.0,1.0,79.09799999999706,627.7846234755328,5.83442638973726,0.009278894826479941,
gscx,True,0.6538680677911857,0.8390727648697192,1.053049762965386,0.0,36.96842093689233,86.23017377199024,2.2711024489355043,0.0
pid,False,1.2370942639952673,0.0,1.0,71.93000000001376,662.7001903284144,6.112029490533292,0.00920902175349523,
gscx,True,0.5880619289197537,0.805351974735165,1.0691308011150167,0.0,36.524282508585124,76.96619642988716,2.051103746281576,0.0
pid,False,1.193072296625514,0.0,1.0,74.88600000000687,646.2760617683786,6.443671463122223,0.00995505912194236,
gscx,True,0.5206985831569887,0.8370257749218019,1.0434728484320424,0.0,28.693735744139744,82.62925539765355,2.7827167355983824,0.0
pid,False,1.356046808813229,0.0,1.0,62.26600000003013,640.7235542933947,11.84161788064839,0.018452833469214416,
gscx,True,0.6598417821465283,0.7532863833725545,1.0775305159886754,0.0,42.38328961854729,88.7819979693269,2.046456106716506,0.0
pid,False,1.423755282700631,0.0,1.0,68.90200000002082,631.8136077592312,9.714329212176406,0.015351011882589683,
gscx,True,0.7187720141418333,0.7439466132828871,1.0889903663450373,0.0,51.72467403061502,77.16702976632021,1.463584767191022,0.0
pid,False,1.2475272230312147,0.0,1.0,75.09800000000638,628.7250581521772,9.452018691805113,0.015009754764310126,
gscx,True,0.518087675576365,0.8542680059339672,1.050915968345222,0.0,26.156826336887153,87.7253015298312,3.2303222932450617,0.0
pid,False,1.3373983697800311,0.0,1.0,77.7900000000001,650.6740687901271,4.51886902827095,0.006934247110155093,
gscx,True,0.6402346467294738,0.8367543660989541,1.0550295453281078,0.0,35.185125264824464,78.78495815739132,2.1772747111083826,0.0
pid,False,1.2672377141440683,0.0,1.0,84.03799999998554,649.1513600474512,3.742712124463073,0.005756678143670901,
gscx,True,0.6027785663009805,0.7287555267546005,1.0797695171598023,0.0,45.308583726327385,69.04021592875702,1.4908729737183959,0.0
pid,False,1.275493356994795,0.0,1.0,69.35200000001977,632.1235172227183,7.203146609604547,0.011377158506450874,
gscx,True,0.6528079276781441,0.8310334531454633,1.062783144483199,0.0,31.765523660918785,83.91464816658892,2.561065375758925,0.0
pid,False,1.3665197643935652,0.0,1.0,73.90000000000917,657.8633598653001,8.291360185959006,0.012584339471622939,
gscx,True,0.6503120750623557,0.7956535427691019,1.0809159711582446,0.0,45.954376955984195,75.63282154773592,1.6107725509516475,0.0
pid,False,1.36191156359029,0.0,1.0,73.79600000000941,642.1239181090316,9.6175893997472,0.014954488752378647,
gscx,True,0.6379383008176384,0.7343705910477428,1.0772469070033837,0.0,35.402682964907676,76.8714174067118,2.1116964779990566,0.0
pid,False,1.1982472861139841,0.0,1.0,71.47800000001482,644.1381229615782,9.355890717829721,0.014502151376329252,
gscx,True,0.5394564307756451,0.8660588358406481,1.047399980612868,0.0,29.061797460591805,81.82548191465173,2.721909161350623,0.0
pid,False,1.3942845212921116,0.0,1.0,74.89600000000685,649.8957838102355,9.322953957270336,0.014323266779660665,
gscx,True,0.6789954842703853,0.8042324806113533,1.0788596922649807,0.0,46.318633234051404,75.3887140377775,1.5932141079579265,0.0
pid,False,1.543214128403478,0.0,1.0,71.74600000001419,642.0455078047004,9.473398352873385,0.01473208075928361,
gscx,False,0.7734847638968642,0.7937545669619082,1.0692602506755258,1.326000000000001,42.252697629880146,80.65835272564489,1.864816696887916,0.0
pid,False,1.3047187538195426,0.0,1.0,80.01799999999491,655.5179254294276,7.361258265186406,0.011212577722643925,
gscx,True,0.6076195659275527,0.8302245632695605,1.0582445025333702,0.0,32.24443149958891,76.8449128973882,2.3115123174339267,0.0
pid,False,1.549624516937197,0.0,1.0,75.26800000000598,625.004344761893,8.272495631626754,0.013214757534587528,
gscx,False,0.8388377587862034,0.7941649456520046,1.0767960254361963,1.0680000000000007,40.52644383194951,80.36204273067837,1.9352016526117661,0.0
pid,False,1.3875733193520285,0.0,1.0,77.99999999999962,657.5420450964824,7.3350894091426815,0.011138376757809024,
gscx,True,0.6922346306373394,0.8062654390884822,1.0628740853573437,0.0,38.40650692976887,76.24485075770028,1.9348289584150533,0.0
pid,False,1.3195199021091997,0.0,1.0,66.60000000002618,624.1919276533273,11.908823637336654,0.01904826839661335,
gscx,True,0.625004889121673,0.917364747839911,1.0329024618973106,0.0,23.54262435729968,96.02967777259501,3.9127713635902603,0.0
pid,False,1.3546804902354272,0.0,1.0,83.415999999987,635.8389706846448,4.172238625495565,0.006551481328176458,
gscx,True,0.6281248323138501,0.8057332736617159,1.0772970990840123,0.0,38.52832405633916,77.25989128977628,1.9545450796157928,0.0
pid,False,1.4544203349364513,0.0,1.0,81.76199999999085,628.4342512819412,5.310141645475559,0.008436372241676753,
gscx,True,0.6826242407534641,0.7947829117784071,1.0529781647986518,0.0,31.097477908059883,88.5743797727027,2.7595432895511425,0.0
pid,False,1.2593361155144822,0.0,1.0,72.44000000001257,666.6399526721539,7.484322889736919,0.011210118357629376,
gscx,True,0.6068627022848374,0.7420305592740032,1.0809922967822092,0.0,38.04456843718463,73.22759185785667,1.8754872902658943,0.0
pid,False,1.0716197158477387,0.0,1.0,78.31599999999888,632.7044501007302,5.729526827149057,0.009041323327046736,
gscx,True,0.46827074965497095,0.9518607255545743,1.0241976930998165,0.0,20.354199748546904,94.560551966136,4.428194597766212,0.0
pid,False,1.4577344751506953,0.0,1.0,84.00999999998561,646.5511146460103,4.207454083525436,0.006497485663082332,
gscx,True,0.7342700778214156,0.7810341779278954,1.0708212039854264,0.0,42.679584877034465,72.39180146284106,1.6573372129482553,0.0
pid,False,1.3970288297972142,0.0,1.0,72.82000000001169,662.4428365386341,8.886958010912435,0.013395212852516682,
gscx,True,0.6756221044566347,0.7613920192998812,1.0786209115242953,0.0,39.78951355510839,81.0295460525138,1.9865288646563382,0.0
pid,False,1.248484615859796,0.0,1.0,76.44600000000324,626.5763339235763,8.46457208174249,0.01348771714959741,
gscx,True,0.5503056799981025,0.9335874961993657,1.033052899595531,0.0,25.281336726244373,89.72165871326457,3.4138925142140546,0.0
pid,False,1.1682114924573614,0.0,1.0,74.47200000000784,643.8319161360289,7.679505163777018,0.011909313065324464,
gscx,True,0.5603135005458094,0.7802140449405918,1.060611829305566,0.0,31.794855861694664,78.33056808799928,2.3885016728947313,0.0
pid,False,1.4996861350064028,0.0,1.0,78.3919999999987,667.6519043416966,4.803902207733356,0.0071844590235077685,
gscx,False,0.7801764238171074,0.716941002376297,1.1022722349695162,0.6860000000000005,51.57164780675624,66.4258175244911,1.263529303259815,0.0
pid,False,1.2052317622492854,0.0,1.0,66.07000000002742,659.7837280447496,10.713306504443587,0.016213030148523964,
gscx,True,0.5785841280316756,0.7889431853611053,1.0747053995167826,0.0,40.15793140399499,79.13534297750681,1.922724011582019,0.0
pid,False,1.5831435224892076,0.0,1.0,71.30600000001522,613.7035558402582,10.321959406801495,0.01679176785091486,
gscx,False,0.9156131090819708,0.8866183602338009,1.0478821163242864,0.8080000000000006,36.99339147542529,97.74025671915055,2.5725594089795973,0.0
pid,False,1.1004091341425069,0.0,1.0,81.25799999999202,620.3757842589397,5.464085910655551,0.008793528890367181,
gscx,True,0.48256138420271,0.9280667452031721,1.029104029181262,0.0,24.564151820680582,91.72880283039275,3.588180960347258,0.0
pid,False,1.2405120332304045,0.0,1.0,75.23400000000606,649.5766540541395,5.448235669170638,0.008374471532630878,
gscx,True,0.5811829606616505,0.9077955879295169,1.035156022554946,0.0,24.3665552362275,83.21359947174692,3.280445401309539,0.0
pid,False,1.365637192221525,0.0,1.0,76.55800000000298,627.2477584693385,5.8047564673082475,0.009239597577635523,
gscx,True,0.6547665678878608,0.8556259256952397,1.0484491359312769,0.0,24.167885469972003,91.09073792317962,3.619324238894073,0.0
pid,False,1.0282160088338475,0.0,1.0,68.79400000002107,645.0515079102859,9.784820970407758,0.015145574076682643,
gscx,True,0.4506510399098829,0.9465964917677294,1.0181122135346148,0.0,19.91711422115024,91.2115277102771,4.360617183896668,0.0
pid,False,1.3374011653342748,0.0,1.0,82.84999999998831,665.0926438049027,4.501606344355924,0.006758228583101477,
gscx,True,0.6398136747949265,0.6683048791417753,1.1040352089568768,0.0,48.86786495197373,60.52441709176139,1.2136957768304433,0.0
pid,False,1.1837496938756003,0.0,1.0,76.36800000000342,646.1951545813794,5.9937946013214045,0.00926118583999339,
gscx,True,0.5422021231702718,0.8351862322508211,1.0589862118915876,0.0,26.890885489343635,80.1856175192345,2.8749756815670584,0.0
pid,False,1.372060312458919,0.0,1.0,75.95600000000438,653.6813964820174,7.836415062809292,0.011969814790704138,
gscx,True,0.6377868225425933,0.7821298570278238,1.0819712382663698,0.0,44.96847357689193,72.03803897193237,1.5671183610531163,0.0
pid,False,1.0982308824999152,0.0,1.0,78.16199999999924,645.1791139743303,6.899377688958672,0.010677190797028379,
gscx,True,0.44798598967804104,0.9530366096285164,1.0273566608191467,0.0,25.63544388692874,87.23893264319611,3.2752948670026987,0.0
pid,False,1.4861159865600704,0.0,1.0,78.92799999999745,633.9427703526666,5.467466945244527,0.008610960232223337,
gscx,True,0.7046537494527303,0.7637501317287988,1.0830890223108962,0.0,40.87439230810436,81.48912195415973,1.9460371234662273,0.0
pid,False,1.241265577048693,0.0,1.0,75.14800000000626,642.5778071995524,7.640208356402951,0.011871460250701238,
gscx,True,0.569923316225396,0.699921225357835,1.0771813801459993,0.0,37.7591788561071,73.93700466472963,1.9075998730318748,0.0
pid,False,1.6035737096266838,0.0,1.0,79.6779999999957,639.8894292429734,5.571903483529606,0.00869401682925432,
gscx,False,1.0216783290054916,0.6712408135298598,1.1190307886776492,2.155999999999984,56.25830648878205,67.63479524496627,1.1812224180646553,0.0
pid,False,1.6037973097098706,0.0,1.0,83.81999999998605,625.1008526829798,4.687675096299048,0.007487092656416821,
gscx,False,0.9404090376419553,0.7801256264103253,1.0674739785600447,1.410000000000001,49.64340767717815,84.29483132555875,1.6644778697138345,0.0
pid,False,1.1820530220412802,0.0,1.0,63.904000000032134,626.4608766023186,11.919854062262777,0.018996967789941616,
gscx,True,0.5057783388924649,0.9716997270347486,1.0102483115183802,0.0,20.00450120090089,98.50807903889121,4.689855669348919,0.0
pid,False,1.402765396175036,0.0,1.0,70.34600000001745,624.8631147164591,9.888263104633088,0.01579940225285982,
gscx,True,0.6993527770135363,0.8020702476192951,1.0497344818766605,0.0,26.988078308578427,92.4293451718677,3.3024541432534806,0.0
pid,False,1.3664690469503165,0.0,1.0,83.42799999998697,619.1595100791222,6.367817765026052,0.01026803211356643,
gscx,True,0.6839672746222314,0.8867588126826432,1.0317420229609222,0.0,22.109416431904524,96.83448657036048,4.190261007053047,0.0
pid,False,1.341113081962626,0.0,1.0,74.46800000000785,646.3817750541718,9.748020978709595,0.015057607974666721,
gscx,True,0.6423611442081447,0.8696256841786317,1.0493696505119345,0.0,34.89874240458096,84.93763135547654,2.3660336175073877,0.0
pid,False,1.2829975530865356,0.0,1.0,68.50600000002174,635.9898648894596,11.081972873546157,0.017397408474417838,
gscx,True,0.6131126748093377,0.8744638747272707,1.0467546571499262,0.0,29.53737613080862,86.9212515397127,2.8463890010517106,0.0
pid,False,1.2564417328632937,0.0,1.0,82.49399999998914,652.9516487785993,4.502732691568962,0.006885421422178261,
gscx,False,0.9620827897088453,0.6050497957851895,1.1166421118063736,1.1880000000000008,45.73687682250759,62.40506399709186,1.3352424945741939,0.1254222222222222
pid,False,1.4763514318058468,0.0,1.0,81.23199999999208,648.3019646610509,4.520439099946583,0.006961998185707549,
gscx,False,0.7554253144896701,0.7519048378401346,1.0988895393242308,0.034000000000000016,54.62718849836486,77.9589554894979,1.4014541736508843,0.0
pid,False,1.2416138174530793,0.0,1.0,78.62199999999817,634.3219737176593,6.199129845624502,0.0097574617313322,
gscx,True,0.6035969274103733,0.8297534694451693,1.0563901285414148,0.0,30.370471680940106,80.73583722515025,2.573625224583514,0.0
pid,False,1.4478517866646268,0.0,1.0,72.4700000000125,661.4766959551561,7.70393193808584,0.011628985570546514,
gscx,True,0.7483389947163473,0.7474494176387567,1.0853887267487146,0.0,44.53861389284842,72.48529207361209,1.5917325073654798,0.0
pid,False,1.4316857100520255,0.0,1.0,84.68199999998404,620.8418114459721,5.034542954685147,0.008096179546013956,
gscx,True,0.712216531213966,0.7717847054331823,1.0631979978080703,0.0,41.70521743695361,82.33798917173493,1.9280545589843163,0.0
pid,False,1.2250040513530365,0.0,1.0,79.14799999999694,626.6047363011251,5.063952749626532,0.00806869747266669,
gscx,True,0.5777299296087423,0.9807406453437859,1.0200014708008671,0.0,25.838175722053837,97.45610375876502,3.631249186534018,0.0
pid,False,1.3431716770465996,0.0,1.0,76.8080000000024,636.7053974482133,6.744519818522142,0.010576231353083146,
gscx,True,0.5974277625777884,0.8880998663269509,1.0415089128474808,0.0,32.366589823060515,90.06207340608866,2.6991692553442914,0.0
pid,False,1.5650896304162458,0.0,1.0,68.8660000000209,631.591146768475,10.560431546264004,0.016693928772495238,
gscx,False,0.8521505880073669,0.7994150123777872,1.060563983810309,1.1280000000000008,38.37366327741776,93.48929353548094,2.3744118721384115,0.0
pid,False,1.4187589766300228,0.0,1.0,82.6399999999888,635.713709486261,4.4655670952056274,0.007013461511310501,
gscx,True,0.6656786591171194,0.8892616700502222,1.0309435022675144,0.0,29.060613482185644,92.10769639535178,3.064065756673134,0.0
pid,False,1.4020113972347379,0.0,1.0,84.68399999998404,632.3371068615819,5.196144538990765,0.008204389862358722,
gscx,True,0.6372454596877304,0.8306077390092889,1.0583133001891862,0.0,37.98994409848604,83.88234656072423,2.15138411968078,0.0
pid,False,1.2571180481170448,0.0,1.0,69.50800000001941,633.1853193695046,11.682225631811429,0.0184208389488197,
gscx,True,0.571018037943654,0.7840327424839553,1.055425947654829,0.0,28.53379004018956,85.81579733957194,2.9056818384228325,0.0
pid,False,1.5672153540059408,0.0,1.0,78.79599999999776,633.8618366287006,5.5569519199780135,0.008753009866661745,
gscx,False,0.9514173283811527,0.742545930150547,1.0936529489555382,1.5320000000000011,41.03127915906947,85.43968992412438,2.0327644467058357,0.0
pid,False,1.3764910306353555,0.0,1.0,83.1139999999877,635.05999241622,5.596870865866305,0.008799281408354745,
gscx,True,0.6643901852246599,0.8873243608570293,1.0527656154563105,0.0,38.21504451894508,85.40586278332269,2.177885141557406,0.0
pid,False,1.1686154072435015,0.0,1.0,72.22600000001307,643.5027332568404,6.415262975789487,0.009953818106203351,
gscx,True,0.5513044567828862,0.8966357130496792,1.0373346638832348,0.0,21.790397364893284,90.19750759527685,3.9576978914030967,0.0
pid,False,1.3805414549204271,0.0,1.0,71.07400000001576,668.8263221429675,8.517640086064981,0.01271619195079494,
gscx,True,0.6868116666914884,0.7166208492443203,1.0864192422267813,0.0,39.24340332000222,74.58043825873777,1.8532338745234544,0.0
pid,False,1.4137500696162761,0.0,1.0,77.03800000000186,643.162264216243,7.777428277448019,0.012073709854629367,
gscx,True,0.706755669157912,0.8043907997940478,1.0635114537514516,0.0,37.68229765642833,79.73446388431317,2.0612649380992156,0.0
pid,False,1.1796906995610172,0.0,1.0,75.03400000000653,635.9848730733398,8.440210850688599,0.013250253196698484,
gscx,True,0.5151991698970859,0.8603917369697827,1.044243444284195,0.0,27.49098759194757,84.45078547205588,2.964122784424794,0.0
pid,False,1.221863609299785,0.0,1.0,60.80600000002835,627.0460439015898,10.634606966310402,0.016932846038238508,
gscx,True,0.5923203492856951,0.8322653060311084,1.0459868791544236,0.0,27.85943825885211,90.51605503271833,3.1364454921416973,0.0
