A,a_t,n,k,present_age_Gyr,time_to_a2_Gyr,time_to_a10_Gyr,time_to_a100_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,bh_feed_final,bh_sector_today,fate
0.1,0.3,4,0.01,13.64159546286482,24.785195785844113,52.85476927468712,93.22338905010662,133.5933479430235,254.66622592401075,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,4,0.03,13.646347341033005,24.789934934507894,52.85950416315349,93.22812390192193,133.59808279480222,254.67096077578944,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,4,0.1,13.684477458232916,24.827964338456287,52.89749986088942,93.2661193096791,133.63607820226952,254.70895618325636,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,4,0.3,13.756824257794703,24.900126871560207,52.96960072278488,93.3382196410036,133.7081785330643,254.78105651405065,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,4,1.0,13.78386904784833,24.927105006137847,52.996556548197844,93.36517527448378,133.73513416635262,254.80801214733876,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,6,0.01,13.648456486430602,24.79172465633711,52.86118501069673,93.22980381063283,133.5997627025753,254.67264068356147,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,6,0.03,13.652960679886974,24.796227466866146,52.86568742567224,93.23430622227912,133.60426511421818,254.67714309520434,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,6,0.1,13.689161192718503,24.832417040520525,52.90187387043049,93.27049264070386,133.64045153261682,254.713329513603,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,6,0.3,13.758131680364045,24.90136752408014,52.97081863226855,93.33943735438673,133.70939624625132,254.78227422723748,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,6,1.0,13.784010906237459,24.92723951710052,52.99668855648677,93.36530726119355,133.73526615304087,254.808144134027,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,9,0.01,13.653885516816405,24.797114480055225,52.86656357798646,93.2351822831732,133.60514117502098,254.67801915600714,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,9,0.03,13.658193033158762,24.80142195378026,52.87087104096601,93.23948974606287,133.60944863791056,254.68232661889672,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,9,0.1,13.692862891970124,24.836091475488335,52.90554047767696,93.27415918206192,133.6441180739089,254.71699605489508,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,9,0.3,13.75916274261795,24.9023907097179,52.97183955648292,93.34045825956605,133.71041715141175,254.7832951323979,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,9,1.0,13.784122682994349,24.927350427226383,52.99679921779754,93.36541792040993,133.7353768122552,254.80825479324133,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,12,0.01,13.656140398756163,24.79936815151481,52.868816943633945,93.23743564625896,133.60739453810424,254.68027251909038,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,12,0.03,13.66036418071109,24.803591932236262,52.873040724065106,93.241659426688,133.6116183185333,254.68449629951945,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,12,0.1,13.694386817449153,24.837614559217585,52.90706334874906,93.27568205135279,133.64564094319806,254.71851892418422,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,12,0.3,13.75958013208116,24.90280785600875,52.97225664133952,93.34087534390798,133.71083423575323,254.78371221673936,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.3,12,1.0,13.784167616301984,24.927395333779145,52.99684411759107,93.3654628201468,133.73542171199205,254.80829969297818,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,4,0.01,13.552766630380715,24.69866403163797,52.76901994570302,93.13764646286222,133.5076053625147,254.5804833435089,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,4,0.03,13.560375477547451,24.706182087069426,52.77650715926276,93.14513341075944,133.51509231014646,254.58797029114035,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,4,0.1,13.621532195015694,24.766619450110394,52.83670013785123,93.20532428422163,133.5752831815053,254.648161162497,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
