controller,survival_rate,mean_peak,median_peak,mean_unsafe_time,mean_energy,mean_productivity,mean_prod_per_energy
GSCX_V7,1.0,0.03161923511414708,0.0314559466299914,0.0,0.29255986858845373,59.11276066748386,202.20532349206704
GSCX_V9,1.0,0.03025114899681194,0.029780027619051304,0.0,0.15654306831896497,59.55699974795706,381.3585851372966
PID,0.0,1.500718616702064,1.5006010719738987,4.599672000000063,5.53898292910906,3.8361482896153825,0.6998419734290278
