controller,survival_rate,mean_peak_A,mean_unsafe_time,mean_control_energy,mean_raw_control_energy,mean_recovered_energy,mean_recovery_fraction,mean_phase_lock_score,mean_fusion_yield,mean_yield_per_energy,mean_CSI
GSCX_OLD_CAGE,1.0,1.156973810609796,36.43600000000132,0.61280262631223,0.61280262631223,0.0,0.0,0.0,10.118835133914994,16.582291154061387,612802626.31223
GSC_TX1_FIELD_MATRIX,1.0,0.9613186752652073,0.0,33.361887668864135,33.398339982206586,0.0364523133424506,0.0010917196655145433,0.13882077377159746,7.777510912016837,0.23311172560880394,33361887668.864136
PID_OLD_CAGE,0.0,2.4073292892352463,0.059250000000000004,3241.809955343623,4795.724208791651,0.0,0.0,0.0,0.02317853657932164,7.21269662820978e-06,3241809955343.6226
