controller,seed,survival,peak_A,unsafe_time,control_energy,raw_control_energy,recovered_energy,recovery_fraction,phase_lock_score,fusion_yield,yield_per_energy,chaos_suppression_index
PID_OLD_CAGE,0,0,2.275020436195512,0.05,2874.1521835433387,4246.517424545522,0.0,0.0,0.0,0.02505674809288386,8.71796150403715e-06,2874152183543.3384
PID_OLD_CAGE,1,0,2.265471142406696,0.060000000000000005,2838.5568753237612,4193.6506650623505,0.0,0.0,0.0,0.021060526301399096,7.419448412140604e-06,2838556875323.761
PID_OLD_CAGE,2,0,2.235095612129495,0.05,2764.3970827329185,4083.070046151882,0.0,0.0,0.0,0.020662689888184947,7.474573756875069e-06,2764397082732.9185
PID_OLD_CAGE,3,0,2.3084648605595612,0.060000000000000005,3031.678573613232,4481.439322570413,0.0,0.0,0.0,0.02546536492466641,8.399757529145888e-06,3031678573613.232
PID_OLD_CAGE,4,0,2.551786180915821,0.07,3524.941567536058,5218.708207459435,0.0,0.0,0.0,0.024038125261575567,6.819439358358343e-06,3524941567536.0576
PID_OLD_CAGE,5,0,2.295984649744434,0.060000000000000005,2957.0052924689126,4369.9718311549805,0.0,0.0,0.0,0.02131265909043336,7.207514692214645e-06,2957005292468.9126
PID_OLD_CAGE,6,0,2.4405228171718685,0.060000000000000005,3370.7507381561536,4987.763839116008,0.0,0.0,0.0,0.02282362331126126,6.771080119599505e-06,3370750738156.1533
PID_OLD_CAGE,7,0,2.526984865151013,0.060000000000000005,3512.746672632966,5200.221642421944,0.0,0.0,0.0,0.022437799045113536,6.387536915176687e-06,3512746672632.9653
PID_OLD_CAGE,8,0,2.5323211440403464,0.060000000000000005,3553.7357258247966,5261.78950065473,0.0,0.0,0.0,0.02392126226485313,6.731300273965771e-06,3553735725824.7964
PID_OLD_CAGE,9,0,2.517167818910056,0.060000000000000005,3600.425129269812,5331.415072108009,0.0,0.0,0.0,0.02352069264020018,6.532754270872392e-06,3600425129269.8115
PID_OLD_CAGE,10,0,2.5470263576695897,0.060000000000000005,3679.756837064839,5450.267708009562,0.0,0.0,0.0,0.023794307788903978,6.4662717789464206e-06,3679756837064.839
PID_OLD_CAGE,11,0,2.2756801250774354,0.060000000000000005,2876.82335807692,4250.526613900363,0.0,0.0,0.0,0.024938173427437198,8.668649521845872e-06,2876823358076.92
PID_OLD_CAGE,12,0,2.3780497445715794,0.060000000000000005,3164.0820862052506,4679.282389406127,0.0,0.0,0.0,0.022425010122891456,7.087366734463944e-06,3164082086205.2505
PID_OLD_CAGE,13,0,2.5564247561843985,0.060000000000000005,3658.6429667943994,5418.560289845922,0.0,0.0,0.0,0.02304152672508715,6.2978341790123325e-06,3658642966794.3994
PID_OLD_CAGE,14,0,2.438390320787481,0.060000000000000005,3292.806520431308,4871.554225871152,0.0,0.0,0.0,0.024379622297499844,7.403903674941423e-06,3292806520431.3076
PID_OLD_CAGE,15,0,2.573484221046623,0.060000000000000005,3781.427422276779,5602.600436008391,0.0,0.0,0.0,0.024050376233445248,6.360131650750624e-06,3781427422276.779
PID_OLD_CAGE,16,0,2.3929921149502786,0.060000000000000005,3207.2510915362445,4743.3968332667355,0.0,0.0,0.0,0.021954702621914467,6.845333276164392e-06,3207251091536.244
PID_OLD_CAGE,17,0,2.514644081444361,0.060000000000000005,3499.202042881081,5179.941517643508,0.0,0.0,0.0,0.02255954594734908,6.447054405800514e-06,3499202042881.081
PID_OLD_CAGE,18,0,2.264670211681068,0.05,2857.123070538604,4221.084787441114,0.0,0.0,0.0,0.02085433837561446,7.299068979788768e-06,2857123070538.604
PID_OLD_CAGE,19,0,2.545876431399257,0.060000000000000005,3616.6195464771417,5355.937365081059,0.0,0.0,0.0,0.02492288780681902,6.891210835568504e-06,3616619546477.1416
PID_OLD_CAGE,20,0,2.3510255147019326,0.060000000000000005,3131.35985799792,4630.131019277344,0.0,0.0,0.0,0.02580353943044135,8.240362207022407e-06,3131359857997.9194
PID_OLD_CAGE,21,0,2.407265136765408,0.060000000000000005,3119.67291365392,4612.776389576505,0.0,0.0,0.0,0.021036172605292103,6.743069926727261e-06,3119672913653.92
PID_OLD_CAGE,22,0,2.327023116775167,0.060000000000000005,2865.298179248071,4233.360824169549,0.0,0.0,0.0,0.023601380042248717,8.236971709671801e-06,2865298179248.071
PID_OLD_CAGE,23,0,2.4055594314322066,0.060000000000000005,3268.27507877468,4834.794645682637,0.0,0.0,0.0,0.024521211220228142,7.50279906959789e-06,3268275078774.6797
PID_OLD_CAGE,24,0,2.2774128215677574,0.060000000000000005,2887.016399970452,4265.7969241775545,0.0,0.0,0.0,0.02123084566366082,7.3539054588920105e-06,2887016399970.4517
PID_OLD_CAGE,25,0,2.3999844783204205,0.060000000000000005,3297.1533042155456,4877.819148924873,0.0,0.0,0.0,0.024954305707771934,7.568439622100453e-06,3297153304215.5454
PID_OLD_CAGE,26,0,2.567824009395996,0.060000000000000005,3722.39187449551,5514.196437273982,0.0,0.0,0.0,0.024476727784749828,6.575537613986584e-06,3722391874495.51
PID_OLD_CAGE,27,0,2.216199356541141,0.060000000000000005,2793.948457961031,4126.952410425218,0.0,0.0,0.0,0.021036640428742568,7.5293588071725445e-06,2793948457961.0312
PID_OLD_CAGE,28,0,2.368629170382342,0.060000000000000005,3038.3590780563636,4491.393228346498,0.0,0.0,0.0,0.023590214891759876,7.764130007583816e-06,3038359078056.3633
PID_OLD_CAGE,29,0,2.6067347574272,0.060000000000000005,3855.786525026305,5714.057671773539,0.0,0.0,0.0,0.023994957837472852,6.223103297271607e-06,3855786525026.3047
PID_OLD_CAGE,30,0,2.462695361683783,0.060000000000000005,3332.9175287090648,4931.318329480631,0.0,0.0,0.0,0.022045642253591062,6.6145177801994285e-06,3332917528709.0645
PID_OLD_CAGE,31,0,2.303900815054559,0.060000000000000005,2975.582966483249,4397.843574689135,0.0,0.0,0.0,0.021676059780156125,7.284643051229426e-06,2975582966483.249
PID_OLD_CAGE,32,0,2.3641572430002276,0.060000000000000005,2998.629342257048,4432.120499850069,0.0,0.0,0.0,0.020574252154544115,6.861218845758094e-06,2998629342257.048
PID_OLD_CAGE,33,0,2.6196032662030264,0.060000000000000005,3896.588744603634,5775.260471234582,0.0,0.0,0.0,0.024115668690600445,6.188918120751625e-06,3896588744603.634
PID_OLD_CAGE,34,0,2.2203332169022887,0.05,2755.1353080106455,4069.142200860195,0.0,0.0,0.0,0.0246731789537539,8.955342005166452e-06,2755135308010.6455
PID_OLD_CAGE,35,0,2.596254292331654,0.060000000000000005,3754.637622868882,5562.511297028543,0.0,0.0,0.0,0.023381283027081992,6.2273074995744474e-06,3754637622868.882
PID_OLD_CAGE,36,0,2.3961381806475366,0.060000000000000005,3202.759195474284,4736.761654758102,0.0,0.0,0.0,0.02196305938092393,6.857543149654326e-06,3202759195474.2837
PID_OLD_CAGE,37,0,2.4382425542584283,0.060000000000000005,3423.5568729283914,5066.73354556109,0.0,0.0,0.0,0.025445737000438493,7.432543972510573e-06,3423556872928.391
PID_OLD_CAGE,38,0,2.2870665857409684,0.060000000000000005,2895.16388830093,4278.059681281993,0.0,0.0,0.0,0.0212790148632847,7.349848120606829e-06,2895163888300.9297
PID_OLD_CAGE,39,0,2.241064368240931,0.060000000000000005,2796.040291324473,4130.238679574777,0.0,0.0,0.0,0.0245215892885894,8.770112993244761e-06,2796040291324.4727
GSCX_OLD_CAGE,0,1,1.147675322913739,36.59000000000129,0.5423048845228623,0.5423048845228623,0.0,0.0,0.0,10.106851237422282,18.636843420058405,542304884.5228623
GSCX_OLD_CAGE,1,1,1.1573827139877182,36.48000000000131,0.6198022486732034,0.6198022486732034,0.0,0.0,0.0,10.065559913815733,16.239953822566623,619802248.6732033
GSCX_OLD_CAGE,2,1,1.1612024840975197,36.50000000000131,0.6082143620995392,0.6082143620995392,0.0,0.0,0.0,9.914888866971767,16.301635522785435,608214362.0995392
GSCX_OLD_CAGE,3,1,1.157876476944053,36.460000000001315,0.5570315452842123,0.5570315452842123,0.0,0.0,0.0,10.291692135873003,18.475959224438448,557031545.2842122
GSCX_OLD_CAGE,4,1,1.1691496955862364,36.69000000000127,0.625319994482187,0.625319994482187,0.0,0.0,0.0,10.209374145397648,16.32663951122362,625319994.4821869
GSCX_OLD_CAGE,5,1,1.1560630764625588,36.060000000001395,0.5552639903056662,0.5552639903056662,0.0,0.0,0.0,10.178037316996809,18.33008708715981,555263990.3056662
